id,active,type,product_tmpl_id/id,product_qty,product_uom_id/id,sequence,ready_to_produce,picking_type_id/id,company_id/id,consumption,produce_delay,days_to_prepare_mo,version,x_studio_bom_total_material_cost,x_studio_currency_id/id,x_studio_last_updated_date_cost
mrp_bom_id_712,1,normal,Jinasena_MasterData_Stock.product_template_guard_bracket_330478,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_713,1,normal,Jinasena_MasterData_Stock.product_template_guard_mesh_top,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_714,1,normal,Jinasena_MasterData_Stock.product_template_guard_mesh_side,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_715,1,normal,Jinasena_MasterData_Stock.product_template_mesh_raieforcement,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_716,1,normal,Jinasena_MasterData_Stock.product_template_guard_bracket_330482,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_717,1,normal,Jinasena_MasterData_Stock.product_template_drum_shaft_330483,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_718,1,normal,Jinasena_MasterData_Stock.product_template_impeller_plate,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_719,1,normal,Jinasena_MasterData_Stock.product_template_impeller_vans,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_721,1,normal,Jinasena_MasterData_Stock.product_template_hop_pheriparal,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_722,1,normal,Jinasena_MasterData_Stock.product_template_hop_sides,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_723,1,normal,Jinasena_MasterData_Stock.product_template_mounting_bracket_1,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_724,1,normal,Jinasena_MasterData_Stock.product_template_mounting_bracket_2,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_726,1,normal,Jinasena_MasterData_Stock.product_template_blades_holding_plates,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_727,1,normal,Jinasena_MasterData_Stock.product_template_fix_blades,1.0,uom.product_uom_unit,0,all_available,,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_780,1,normal,Jinasena_MasterData_Stock.product_template_chopping_chamber,1.0,uom.product_uom_unit,0,all_available,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_505,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
mrp_bom_id_781,1,normal,Jinasena_MasterData_Stock.product_template_guard_for_spocket_side,1.0,uom.product_uom_unit,0,all_available,Jinasena_MasterData_Stock.stock_picking_type_manufacturing_505,seed_master_data_and_settings.company_jinasena_agricultural_machinery,warning,0,0,1,0.0,base.LKR,
